,Formula,State,Molar Mass,deltaH0,deltaG0,S0,Cp,Charge
0,O,g,15.9994,249.170,231.731,161.055,21.912,0.0
1,O2,g,31.9988,0,0,205.138,29.355,0.0
2,O3,g,47.9982,142.7,163.2,238.93,39.20,0.0
3,H,g,1.0080,217.965,203.247,114.713,20.784,0.0
4,H<sup>+</sup>,ao,1.0080,0,0,0,0,1.0
5,D,g,2.0141,221.673,206.506,123.349,20.786,0.0
6,H2,g,2.016,0,0,130.684,28.824,0.0
7,D2,g,4.0282,0,0,144.960,29.196,0.0
8,HD,g,3.0221,0.318,-1.464,143.801,29.196,0.0
9,OH,g,17.0074,38.95,34.23,183.745,29.886,0.0
10,OH<sup>-</sup>,ao,17.0074,-229.994,-157.244,-10.75,-148.5,-1.0
11,OD,g,18.0135,36.86,32.47,189.733,29.874,0.0
12,HO2,g,33.0068,10.5,22.6,229.0,34.89,0.0
13,H2O,l,18.0154,-285.830,-237.129,69.91,75.291,0.0
14,H2O,g,18.0154,-241.818,-228.572,188.825,33.577,0.0
15,D2O,l,20.0276,-294.600,-243.439,75.94,84.35,0.0
16,D2O,g,20.0276,-249.199,-234.535,198.339,34.27,0.0
17,HDO,g,19.0215,-245.300,-233.112,199.511,33.81,0.0
18,H2O2,l,34.0148,-187.78,-120.35,109.6,89.1,0.0
19,H2O2,g,34.0148,-136.31,-105.57,232.7,43.1,0.0
20,He,g,4.0026,0,0,126.150,20.786,0.0
21,Ne,g,20.1830,0,0,146.328,20.786,0.0
22,Ar,g,39.948,0,0,154.843,20.786,0.0
23,Kr,g,83.8000,0,0,164.082,20.786,0.0
24,Xe,g,131.3000,0,0,169.683,20.786,0.0
25,Rn,g,222.0000,0,0,176.21,20.786,0.0
26,F,g,18.9984,78.99,61.91,158.754,22.744,0.0
27,F<sup>-</sup>,ao,18.9984,-332.63,-278.79,-13.8,-106.7,-1.0
28,F2,g,37.9968,0,0,202.78,31.30,0.0
29,FO,g,34.9978,109.,105.,216.8,30.5,0.0
30,F2O,g,53.9962,24.7,41.9,247.43,43.30,0.0
31,HF,g,20.0064,-271.1,-273.2,173.779,29.133,0.0
32,HF,ai,20.0064,-332.63,-278.79,-13.8,-106.7,0.0
33,Cl,g,35.4530,121.679,105.680,165.198,21.840,0.0
34,Cl<sup>-</sup>,ao,35.4530,-167.159,-131.228,56.5,-136.4,-1.0
35,Cl2,g,70.9060,0,0,223.066,33.907,0.0
36,ClO,g,51.4524,101.84,98.11,226.63,31.46,0.0
37,ClO2,g,67.4518,102.5,120.5,256.84,41.97,0.0
38,ClOO,g2,67.4518,89.1,105.0,263.7,46.0,0.0
39,Cl2O,g,86.9054,80.3,97.9,266.21,45.40,0.0
40,HCl,g,36.4610,-92.307,-95.299,186.908,29.12,0.0
41,HCl,ai,36.4610,-167.159,-131.228,56.5,-136.4,0.0
42,HClO,g,52.4604,-78.7,-66.1,236.67,37.15,0.0
43,ClF,g,54.4514,-54.48,-55.94,217.89,32.05,0.0
44,ClF3,g,92.4482,-163.2,-123.0,281.61,63.85,0.0
45,ClO3F,g,102.4496,-23.8,48.2,278.97,64.94,0.0
46,Br,g,79.9090,111.884,82.396,175.022,20.786,0.0
47,Br<sup>-</sup>,ao,79.9090,-121.55,-103.96,82.4,-141.8,-1.0
48,Br2,l,159.8180,0,0,152.231,75.689,0.0
49,Br2,g,159.8180,30.907,3.110,245.463,36.02,0.0
50,BrO,g,95.9084,125.77,108.22,237.55,32.09,0.0
51,HBr,g,80.9170,-36.40,-53.45,198.695,29.142,0.0
52,HBr,ai,80.9170,-121.55,-103.96,82.4,-141.8,0.0
53,BrF,g,98.9074,-93.85,-109.18,228.97,32.97,0.0
54,BrF3,l,136.9042,-300.8,-240.5,178.2,124.60,0.0
55,BrF3,g,136.9042,-255.60,-229.43,292.53,66.61,0.0
56,BrF5,g,174.9010,-428.9,-350.6,320.19,99.62,0.0
57,BrCl,g,115.3620,14.64,-0.98,240.10,34.98,0.0
58,I,g,126.9044,106.838,70.250,180.791,20.786,0.0
