,element,state,S0
0,O,g,102.569
1,H,g,65.342
2,He,g,126.15
3,Ne,g,146.328
4,Ar,g,154.843
5,Kr,g,164.082
6,Xe,g,169.683
7,F,g,101.39
8,Cl,g,111.533
9,Br,l,76.1155
10,I,cr,58.0675
11,S,cr,31.8
12,N,g,95.805
13,P,cr,41.09
14,C,cr,5.74
15,Si,cr,18.83
16,Ge,cr,31.09
17,Sn,cr,51.55
18,Pb,cr,64.81
19,B,cr,5.86
20,Al,cr,28.33
21,Zn,cr,41.63
22,Cd,cr,51.76
23,Hg,l,76.02
24,Cu,cr,33.15
25,Ag,cr,42.55
26,Ti,cr,30.63
27,U,cr,50.21
28,Th,cr,53.39
29,Be,cr,9.5
30,Mg,cr,32.68
31,Ca,cr,41.42
32,Li,cr,29.12
33,Na,cr,51.21
34,K,cr,64.18
35,Rb,cr,76.78
36,Cs,cr,85.23
37,O,g,102.569
38,H,g,65.342
39,He,g,126.15
40,Ne,g,146.328
41,Ar,g,154.843
42,Kr,g,164.082
43,Xe,g,169.683
44,Rn,g,176.21
45,F,g,101.39
46,Cl,g,111.533
47,Br,l,76.1155
48,I,cr,58.0675
50,S,cr,31.8
51,Se,cr,42.442
52,Te,cr,49.71
54,N,g,95.805
55,P,cr,41.09
56,As,cr,35.1
57,Sb,cr,45.69
58,Bi,cr,56.74
59,C,cr,5.74
60,Si,cr,18.83
61,Ge,cr,31.09
62,Sn,cr,51.55
63,Pb,cr,64.81
64,B,cr,5.86
65,Al,cr,28.33
66,Ga,cr,40.88
67,In,cr,57.82
68,Tl,cr,64.18
69,Zn,cr,41.63
70,Cd,cr,51.76
71,Hg,l,76.02
72,Cu,cr,33.15
73,Ag,cr,42.55
74,Au,cr,47.4
75,Ni,cr,29.87
76,Co,cr,30.04
77,Fe,cr,27.28
78,Pd,cr,37.57
79,Rh,cr,31.51
80,Ru,cr,28.53
81,Pt,cr,41.63
82,Ir,cr,35.48
83,Os,cr,32.6
84,Mn,cr,32.01
86,Re,cr,36.86
87,Cr,cr,23.77
88,Mo,cr,28.66
89,W,cr,32.64
90,V,cr,28.91
91,Nb,cr,36.4
92,Ta,cr,41.51
93,Ti,cr,30.63
94,Zr,cr,38.99
95,Hf,cr,43.56
96,Sc,cr,34.64
97,Y,cr,44.43
98,Lu,cr,50.96
99,Yb,cr,59.87
100,Tm,cr,74.01
101,Er,cr,73.18
102,Ho,cr,75.3
103,Dy,cr,74.77
104,Tb,cr,73.22
105,Gd,cr,68.07
106,Eu,cr,77.78
107,Sm,cr,69.58
109,Nd,cr,71.5
110,Pr,cr,73.2
111,Ce,cr,72.0
112,La,cr,56.9
113,U,cr,50.21
114,Pa,g,198.05
115,Th,cr,53.39
116,Ac,cr,56.5
117,Be,cr,9.5
118,Mg,cr,32.68
119,Ca,cr,41.42
120,Sr,cr,52.3
121,Ba,cr,62.8
122,Ra,g,176.47
123,Li,cr,29.12
124,Na,cr,51.21
125,K,cr,64.18
126,Rb,cr,76.78
127,Cs,cr,85.23
